RPeakID,RPeakTime,ParticipantID
74,37.33,2
75,37.872,2
76,38.398,2
77,38.938,2
78,39.484,2
79,40.028,2
80,40.567,2
81,41.09,2
82,41.624,2
83,42.153,2
84,42.686,2
85,43.206,2
86,43.73,2
87,44.268,2
88,44.811,2
89,45.35,2
90,45.886,2
91,46.461,2
92,47.026,2
93,47.606,2
94,48.169,2
95,48.716,2
96,49.263,2
97,49.817,2
98,50.372,2
99,50.919,2
100,51.488,2
101,52.054,2
102,52.617,2
103,53.17,2
104,53.742,2
105,54.373,2
106,55.08,2
107,55.691,2
108,56.281,2
109,56.834,2
110,57.364,2
111,57.875,2
112,58.376,2
113,58.874,2
114,59.375,2
115,59.9,2
116,60.445,2
117,60.99,2
118,61.593,2
119,62.222,2
120,62.911,2
121,63.56,2
122,64.18,2
123,64.784,2
124,65.339,2
125,65.869,2
126,66.387,2
127,66.898,2
128,67.399,2
129,67.889,2
130,68.378,2
131,68.868,2
132,69.367,2
133,69.866,2
134,70.368,2
1,0.012,20
2,0.657,20
3,1.414,20
4,2.15,20
5,2.878,20
6,3.587,20
7,4.294,20
8,4.994,20
9,5.69,20
10,6.371,20
11,7.022,20
12,7.662,20
13,8.297,20
14,8.922,20
15,9.54,20
16,10.152,20
17,10.762,20
18,11.374,20
19,11.998,20
20,12.615,20
21,13.233,20
22,13.853,20
23,14.497,20
24,15.16,20
25,15.83,20
26,16.476,20
27,17.126,20
28,17.779,20
29,18.444,20
30,19.099,20
31,19.748,20
32,20.394,20
33,21.041,20
34,21.691,20
35,22.325,20
36,22.962,20
37,23.601,20
38,24.249,20
39,24.905,20
40,25.547,20
41,26.17,20
42,26.78,20
43,27.375,20
44,27.961,20
45,28.542,20
46,29.128,20
47,29.721,20
48,30.335,20
49,30.994,20
50,31.699,20
51,32.395,20
52,33.076,20
53,33.761,20
54,34.456,20
55,35.165,20
56,35.869,20
57,36.547,20
58,37.225,20
59,37.899,20
60,38.593,20
61,39.296,20
62,39.963,20
63,40.613,20
64,41.252,20
65,41.891,20
66,42.538,20
67,43.18,20
68,43.827,20
69,44.505,20
70,45.192,20
71,45.895,20
72,46.591,20
73,47.279,20
74,47.956,20
75,48.603,20
76,49.223,20
77,49.827,20
78,50.425,20
79,51.024,20
80,51.642,20
81,52.264,20
82,52.897,20
83,53.567,20
84,54.298,20
85,55.079,20
86,55.874,20
87,56.654,20
88,57.403,20
89,58.145,20
90,58.863,20
91,59.539,20
92,60.206,20
93,60.865,20
94,61.534,20
1,0.013,21
2,0.691,21
3,1.372,21
4,1.933,21
5,2.459,21
6,3.146,21
7,3.652,21
8,4.253,21
9,4.728,21
10,5.302,21
11,5.879,21
12,6.418,21
13,6.892,21
14,7.599,21
15,8.1,21
16,8.713,21
17,9.218,21
18,9.768,21
19,10.275,21
20,10.934,21
21,11.438,21
22,11.98,21
23,12.473,21
24,13.046,21
25,13.557,21
26,14.064,21
27,14.968,21
28,15.457,21
29,16.038,21
30,16.539,21
31,17.206,21
32,17.726,21
33,18.449,21
34,19.086,21
35,19.61,21
36,20.117,21
37,20.655,21
38,21.246,21
39,21.757,21
40,22.261,21
41,22.815,21
42,23.28,21
43,23.76,21
44,24.3,21
45,24.751,21
46,25.235,21
47,25.825,21
48,26.315,21
49,26.871,21
50,27.34,21
51,27.833,21
52,28.336,21
53,28.877,21
54,29.4,21
55,29.988,21
56,30.538,21
57,31.013,21
58,31.5,21
59,32.062,21
60,32.603,21
61,33.153,21
62,33.675,21
63,34.169,21
64,34.636,21
65,35.197,21
